Africa|University of KwaZulu-Natal
Australia|Adelaide University
Australia|Curtin University
Australia|Edith Cowan University
Australia|Flinders University
Australia|La Trobe University
Australia|Macquarie University
Australia|Queensland University of Technology
Australia|University of Newcastle
Australia|University of Wollongong
Austria|TU Graz
Austria|TU Vienna
Caribbean|The National Student Exchange Program
Caribbean|University of the West Indies
China|Beijing Language and Culture University
China|Xi'an Jiaotong-Liverpool University
Czechia|Charles University in Prague
Denmark|Aarhus University
Denmark|University of Southern Denmark
Finland|Aalto University
Finland|University of Helsinki
France|CPE Lyon
France|Sorbonne Université
France|UniLaSalle
France|University of Tours (Université François-Rabelais)&nbsp;
France|Université Grenoble Alpes
France|Université Paul Sabatier
France|Université de Bourgogne
France|Université de Paris-Saclay
Germany|Helmut Schmidt University
Germany|LMU Munich
Germany|Leibniz University Hannover
Germany|Technische Universität Berlin
Germany|University of Oldenburg
Germany|University of Stuttgart
Germany|University of Würzburg
Germany|Universität Hamburg
Germany|Universität Jena
Greenland|Ilisimatusarfik
Hong Kong SAR|Hong Kong Polytechnic University
Italy|Università di Bologna
Japan|Nagasaki University
Japan|Ryukoku University
Japan|Soka University
Japan|Waseda University
Netherlands|Erasmus University Rotterdam
Netherlands|University of Groningen
North America|ITESM/Tecnológico de Monterrey
North America|The Washington Center Internship Program
North America|Universidad Nacional Autónoma de México
Norway|Arctic University of Norway
South America|Pontificia Universidad Católica de Valparaíso
South America|Pontifícia Universidad Católica del Perú
South America|USFQ Galapagos Island Program
South America|Universidad Externado de Colombia
South America|Universidad de San Francisco de Quito (USFQ)
South America|Universidad del Salvador
South America|Universidade Federal de Santa Catarina
South Korea|Seoul National University
Spain|Universidad Complutense de Madrid
Spain|Universidad del Pais Vasco, Basque Country
Sweden|Lund University
Sweden|Umeå University
Sweden|Örebro University
Switzerland|University of Lucerne
United Kingdom and Ireland|Lancaster University
United Kingdom and Ireland|Newcastle University
United Kingdom and Ireland|Oxford Brookes University
United Kingdom and Ireland|University of East Anglia
United Kingdom and Ireland|University of Kent
United Kingdom and Ireland|University of Leicester
United Kingdom and Ireland|University of Limerick
United Kingdom and Ireland|University of Manchester
United Kingdom and Ireland|University of Sheffield
Virtual/Online|Norwegian School of Sport Sciences
Virtual/Online|University of the West Indies
